iter	Passed	Remaining
948	3864	207
949	3869	203
950	3875	199
951	3879	195
952	3883	191
953	3887	187
954	3891	183
955	3895	179
956	3899	175
957	3903	171
958	3907	167
959	3911	162
960	3915	158
961	3918	154
962	3922	150
963	3926	146
964	3930	142
965	3934	138
966	3939	134
967	3942	130
968	3947	126
969	3951	122
970	3954	118
971	3958	114
972	3962	109
973	3965	105
974	3969	101
975	3973	97
976	3977	93
977	3980	89
978	3985	85
979	3988	81
980	3992	77
981	3996	73
982	4000	69
983	4004	65
984	4008	61
985	4011	56
986	4014	52
987	4017	48
988	4021	44
989	4024	40
990	4028	36
991	4031	32
992	4035	28
993	4038	24
994	4043	20
995	4046	16
996	4050	12
997	4053	8
998	4068	4
999	4072	0
